id,title,director,year,country,image,synopsis
137,COLETTE,Wash Westmoreland , 2018,Royaume-Uni,https://images.mubicdn.net/images/film/156185/cache-295996-1546530818/image-w1280.jpg?size=400x,"En 1893, a Paris, la talentueuse jeune epouse d'un ecrivain infidele veut s'emanciper et devenir une romanciere a part entiere."
138,UN COUTEAU DANS LE COEUR,Yann Gonzalez , 2018,France,https://images.mubicdn.net/images/film/204115/cache-331843-1662484307/image-w1280.jpg?size=400x,"Paris, 1979. Anne est productrice de porno gay alcoolique et sort d'une rupture recente avec son editrice Lois. Lorsqu'une des stars de sa derniere production est assassinee, Anne va devoir tout donner pour finir son prochain film. Sans savoir quand le meurtrier frappera de nouveau."
139,LES HERITIERES,Marcelo Martinessi , 2018,Paraguay,https://images.mubicdn.net/images/film/197142/cache-880875-1685020118/image-w1280.jpg?size=400x,"Chela et Chiquita sont ensemble depuis plus de 30 ans. Venant de familles aisees, leur situation financiere a recemment empire et elles doivent vendre certains biens dont elles ont herites. Quand Chiquita est incarceree pour fraude, Chela doit faire face a une nouvelle realite."
140,KILLING EVE,Damon Thomas & 10 de plus, 2018,Royaume-Uni,https://images.mubicdn.net/images/film/204748/cache-334087-1704668491/image-w1280.jpg?size=400x,A British intelligence analyst tries to catch a globetrotting assassin employed by a shadowy organization. Based on the Villanelle novellas by Luke Jennings.
141,HOUSE OF HUMMINGBIRD,Kim Bora , 2018,Coree du Sud,https://images.mubicdn.net/images/film/217619/cache-377191-1654703541/image-w1280.jpg?size=400x,"14-year-old Eun-hee moves through life like a hummingbird searching for a taste of sweetness wherever she may find it. Ignored by her parents and abused by her brother, she finds her escape by roaming the neighborhood with her best friend, going on adventures, and exploring young love."
142,CARMEN & LOLA,Arantxa Echevarria , 2018,Espagne,https://images.mubicdn.net/images/film/203898/cache-331262-1556242795/image-w1280.jpg?size=400x,A love story between two young gypsy women in an environment where homosexuality is taboo.
143,NUITS SAUVAGES AVEC EMILY,Madeleine Olnek , 2018,Etats-Unis,https://images.mubicdn.net/images/film/191633/cache-306907-1677682476/image-w1280.jpg?size=400x,"Alors qu'elle cherche a faire publier ses poemes, Emily Dickinson se trouve confrontee a des hommes trop deroutes par son genie pour prendre son travail au serieux. Son travail attire l'attention d'une editrice qui voit en Emily une couverture pour sa propre implication dans un triangle amoureux."
144,RAFIKI,Wanuri Kahiu , 2018,Kenya,https://images.mubicdn.net/images/film/203274/cache-329633-1614965748/image-w1280.jpg?size=400x,"Despite the political rivalry between their families, Kena and Ziki resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety."
145,TELL IT TO THE BEES,Annabel Jankel , 2018,Royaume-Uni,https://images.mubicdn.net/images/film/180991/cache-289763-1534309596/image-w1280.jpg?size=400x,"Academy Award winner Anna Paquin and Holliday Grainger star in this wrenching drama of a shunned small-town doctor and beekeeper in postwar Britain who befriends a struggling mother and son, helping them discover that love can be found in many forms."
146,COME AS YOU ARE,Desiree Akhavan , 2018,Etats-Unis,https://images.mubicdn.net/images/film/161875/cache-849374-1690559627/image-w1280.jpg?size=400x,"In 1993, Cameron gets sent to a conversion therapy center after an incident with the prom queen. Enduring questionable treatments, she befriends others who pretend to comply while awaiting release."
147,LES GOUTS ET LES COULEURS,Myriam Aziza , 2018,France,https://images.mubicdn.net/images/film/209906/cache-351847-1531111071/image-w1280.jpg?size=400x,"Simone est en couple avec Claire depuis trois ans, mais elle n'en a jamais parle a sa famille. Entre sa mere folle, son pere traditionaliste et ses deux freres qui essaient toujours de lui faire rencontrer des hommes, il est difficile pour Simone de vivre ouvertement. Les choses se compliquent..."
148,HAPPY ENDING,Hella Joof , 2018,Danemark,https://images.mubicdn.net/images/film/233698/cache-427598-1555082860/image-w1280.jpg?size=400x,"Helle has been waiting forever for her workaholic husband Peter to retire, so they can enjoy the autumn of their life together. But when Peter comes home from his last day at work, life takes a surprisingly new turn, as he has a big surprise for her."
149,A LETTER TO THE PRESIDENT,Roya Sadat , 2017,Afghanistan,https://images.mubicdn.net/images/film/178469/cache-245140-1503622635/image-w1280.jpg?size=400x,A woman is sentenced to death and only president can pardon her. Will he make it on time? It won't be easy.
150,DESOBEISSANCE,Sebastian Lelio , 2017,Royaume-Uni,https://images.mubicdn.net/images/film/160258/cache-787663-1653994820/image-w1280.jpg?size=400x,"Ronit, photographe new-yorkaise, se rend a Londres apres la mort de son pere rabbin, dont elle etait eloignee. Elle retourne dans la meme communaute juive orthodoxe qui l'a rejetee en raison de son attirance pour Esti, une amie d'enfance. Leurs retrouvailles ne tardent pas a raviver les passions."
151,DUCK BUTTER,Miguel Arteta , 2018,Etats-Unis,https://images.mubicdn.net/images/film/178198/cache-320104-1532764014/image-w1280.jpg?size=400x,"Two women, who dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together and have sex on the hour, every hour hoping to create a new way to create intimacy."
152,PROFESSOR MARSTON & THE WONDER WOMEN,Angela Robinson , 2017,Etats-Unis,https://images.mubicdn.net/images/film/160892/cache-228020-1500418460/image-w1280.jpg?size=400x,"Details the unconventional life of Dr. William Marston, the Harvard psychologist who helped invent the modern lie detector and created the comic-book character Wonder Woman in 1941."
153,FEMININ PLURIELLES,Sebastien Bailly , 2018,France,https://images.mubicdn.net/images/film/194527/cache-301836-1598739921/image-w1280.jpg?size=400x,"A 2018 French language comedy/drama film directed by Sebastien Bailly, starring Hafsia Herzi, Lise Bellynck and Anne Steffens."
154,QUE LE DIABLE NOUS EMPORTE,Jean-Claude Brisseau , 2018,France,https://images.mubicdn.net/images/film/172997/cache-226189-1540037787/image-w1280.jpg?size=400x,"A beautiful fourty-year-old woman finds a mobile lost in a station. When she arranges a meeting to return it, she meets to other women, and their lives begin to get more entangled."
155,A GREAT RIDE,"Deborah Craig, Veronica Duport Deliz ", 2018,Etats-Unis,https://images.mubicdn.net/images/film/233404/cache-426711-1555527465/image-w1280.jpg?size=400x,"An all-women's community founded in the 1970s created a social movement. Now these trail blazers face a new challenge: aging with grace, determination, and delight."
156,LAS HIJAS DEL FUEGO,Albertina Carri , 2018,Argentine,https://images.mubicdn.net/images/film/201875/cache-325345-1583247172/image-w1280.jpg?size=400x,"Trois femmes s'engagent dans une odyssee polyamoureuse, une quete contre les normes qui rejette les regles de l'amour qui les transformera en veritables rebelles. Ces << Filles du Feu >> guideront d'autres femmes pour les aider a decouvrir le charme liberateur de la sensualite autodefinie."
157,JULES OF LIGHT AND DARK,Daniel Laabs , 2018,Etats-Unis,https://images.mubicdn.net/images/film/238071/cache-444305-1560404445/image-w1280.jpg?size=400x,"In this NewFest Grand Jury Award winner, girlfriends Maya and Jules total their car after a night of backwoods raving. They're rescued from the wreckage by Freddy, a divorced oil worker whose stoic facade crumbles as he begins to confront his repressed desires through conversations with Maya."
158,EMBRASSE-MOI !,"Ocean, Cyprien Vial ", 2017,France,https://images.mubicdn.net/images/film/165364/cache-198349-1524821271/image-w1280.jpg?size=400x,"Oceanerosemarie deborde de vie, d'amis et surtout d'ex-petites amies. Mais elle vient de rencontrer Cecile, la << cette-fois-c'est-vraiment-la-bonne >> femme de sa vie ! Meme si elle ne lui a pas vraiment demande son avis... Il est temps pour Oceanerosemarie de grandir un peu..."
159,MONTANA,Limor Shmila , 2017,Israel,https://images.mubicdn.net/images/film/180093/cache-251588-1504240100/image-w1280.jpg?size=400x,"When a young woman returns to her hometown in Israel following the death of her grandfather, she falls in love with a married teacher despite the looming figure of her fractured past."
160,CHAVELA,"Catherine Gund, Daresha Kyi ", 2017,Etats-Unis,https://images.mubicdn.net/images/film/164774/cache-196101-1498652150/image-w1280.jpg?size=400x,"Born in Costa Rica in 1919, Chavela Vargas ran away to Mexico City to sing in the streets. By the 50s, she was a household name. Just as powerful were her cultural contributions; Chavela was a bold, sexual pioneer, known for having many female lovers at a time when being out in Mexico was dangerous."
161,A WINTER TO REMEMBER,Cecilia Valenzuela Gioia , 2017,Argentine,https://images.mubicdn.net/images/film/188837/cache-284253-1511855805/image-w1280.jpg?size=400x,"Lucia, a 21-year-old girl, suffers from panic and anxiety attacks due to problems from her childhood and adolescence. During a winter stay in Salta, her hometown, she meets Olivia, who takes her to discover new surroundings, new people and a new point of view, recognizing her sexuality."
162,PRINCESS CYD,Stephen Cone , 2017,Etats-Unis,https://images.mubicdn.net/images/film/172209/cache-222625-1623412623/image-w1280.jpg?size=400x,"Cyd, 16 ans, passe l'ete a Chicago chez sa tante Miranda, une ecrivaine celebre. Ses jours sont marques par un flirt avec une barista ; une situation qui contraste avec la vie tranquille de Miranda. Apres des debuts difficiles, la niece et la tante finiront par nouer une solide amitie."
163,BETWEEN THE SEASONS,Kim Junsik , 2017,Coree du Sud,https://images.mubicdn.net/images/film/217673/cache-377335-1538894702/image-w1280.jpg?size=400x,"Hae-soo, a mysterious woman taking various kinds of drugs, moves to a rural city where nobody knows her. There, she opens a cafe and starts a new life. She becomes closer to Ye-jin, a high school student and regular customer, after hiring her to work at the cafe part time."
164,NOVITIATE,Margaret Betts , 2017,Etats-Unis,https://images.mubicdn.net/images/film/156348/cache-186169-1521497268/image-w1280.jpg?size=400x,"Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality."
165,LES BONNES MANIERES,"Marco Dutra, Juliana Rojas ", 2017,Bresil,https://images.mubicdn.net/images/film/176606/cache-239341-1500622129/image-w1280.jpg?size=400x,"Sao Paulo : Clara, aide soignante ancienne eleve infirmiere, se fait embaucher par la jeune et riche Ana, enceinte, pour etre la nounou de son futur bebe. Contre toute attente, les deux femmes developpent un lien amoureux et protecteur, jusqu'a une nuit de pleine lune, ou des changements s'operent."
166,DERRY GIRLS,Michael Lennox , 2017,Royaume-Uni,https://images.mubicdn.net/images/film/198410/cache-313855-1552218116/image-w1280.jpg?size=400x,"Set in the early 1990s, this sitcom features the personal exploits of a 16 year old girl, her family and friends during the Troubles. (3 seasons / 19 episodes)"
167,SIGNATURE MOVE,Jennifer Reeder , 2017,Etats-Unis,https://images.mubicdn.net/images/film/166089/cache-202470-1487584116/image-w1280.jpg?size=400x,"Zaynab, a thirty-something Pakistani, Muslim, lesbian in Chicago takes care of her sweet and TV-obsessed mother. As Zaynab falls for Alma, a bold and very bright Mexican woman, she searches for her identity in life, love and wrestling."
168,LAC PORCUPINE,Ingrid Veninger , 2017,Canada,https://images.mubicdn.net/images/film/178621/cache-245994-1502582713/image-w1280.jpg?size=400x,"En plein ete au Nord d'Ontario, Bea, 13 ans, reve d'avoir une meilleure amie. Son reve devient realite quand elle fait la connaissance de Kate, une jeune fille turbulente."
169,HOLY CAMP!,"Javier Ambrossi, Javier Calvo ", 2017,Espagne,https://images.mubicdn.net/images/film/181685/cache-259486-1506320095/image-w1280.jpg?size=400x,"Maria and Susana, two rebellious teens spend their summer in a catholic camp. With music as their common denominator teen rebellion and ecclesiastic order will collide, creating a hymn to freedom and first love."
170,THE FEELS,Jenee LaMarque , 2017,Etats-Unis,https://images.mubicdn.net/images/film/173418/cache-227479-1496655299/image-w1280.jpg?size=400x,A lesbian bachelorette weekend goes awry when one of the brides admits she's never had an orgasm.
171,MY DAYS OF MERCY,Tali Shalom-Ezer , 2017,Etats-Unis,https://images.mubicdn.net/images/film/157999/cache-247728-1519431072/image-w1280.jpg?size=400x,"Lucy (Page), the daughter of a man on death row, falls in love with Mercy (Mara), a woman on the opposing side of her family's political cause. As a result, Lucy's value for truth is tested as her world begins to unravel."
172,GYPSY,Coky Giedroyc & 4 de plus, 2017,Etats-Unis,https://images.mubicdn.net/images/film/185304/cache-272836-1509207967/image-w1280.jpg?size=400x,Therapist Jean Holloway becomes too immersed in the lives of her patients.
173,SHE'S GOTTA HAVE IT,Spike Lee , 2017,Etats-Unis,https://images.mubicdn.net/images/film/189812/cache-287589-1512609396/image-w1280.jpg?size=400x,The story of one woman and her three lovers. TV series based on the film by Spike Lee.
174,ATYPICAL,Michael Patrick Jann & 2 de plus, 2017,Etats-Unis,https://images.mubicdn.net/images/film/185946/cache-275277-1509725733/image-w1280.jpg?size=400x,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence."
175,BADEN BADEN,Rachel Lang , 2016,Belgique,https://images.mubicdn.net/images/film/149900/cache-129173-1579618288/image-w1280.jpg?size=400x,"Apres avoir termine un boulot qu'elle deteste, Ana choisit spontanement de changer de trajectoire. C'est ainsi qu'au cours de l'ete qui suit, pendant lequel un ancien amour ressurgit et que sa grand-mere se retrouve a l'hopital, elle fait de son mieux pour composer avec la vie."
176,SOUTHWEST OF SALEM: THE STORY OF THE SAN ANTONIO FOUR,Deborah Esquenazi , 2016,Etats-Unis,https://images.mubicdn.net/images/film/156269/cache-158723-1528038165/image-w1280.jpg?size=400x,"At the tail end of the ""Satanic ritual abuse panic"" of the 1990s, four Latina lesbian women were accused and wrongfully convicted of a heinous sexual assault. After serving over a decade in prison, the women won't stop fighting to prove their innocence."
177,CATFIGHT,Onur Tukel , 2016,Etats-Unis,https://images.mubicdn.net/images/film/157482/cache-162554-1630422105/image-w1280.jpg?size=400x,The rivalry between two former college friends comes to an extreme fracas when they both attend the same glamorous event.
178,TEENAGE COCKTAIL,John Carchietta , 2016,Etats-Unis,https://images.mubicdn.net/images/film/151452/cache-130332-1456427045/image-w1280.jpg?size=400x,"Feeling confined by their small town and overbearing parents, Annie and Jules hatch a scheme of running away. The only issue is, they need the money to get there. Jules suggests the couple try webcam modeling."
179,SEARCH PARTY,Sarah-Violet Bliss & 7 de plus, 2016,Etats-Unis,https://images.mubicdn.net/images/film/163412/cache-191193-1651130963/image-w1280.jpg?size=400x,A dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.
180,STRANGER THINGS,Matt Duffer & 7 de plus, 2016,Etats-Unis,https://images.mubicdn.net/images/film/156383/cache-159130-1587717968/image-w1280.jpg?size=400x,"When a young boy disappears, his mother must confront terrifying forces in order to get him back."
181,BETTER THINGS,Pamela Adlon & 3 de plus, 2016,Etats-Unis,https://images.mubicdn.net/images/film/185915/cache-275184-1699872810/image-w1280.jpg?size=400x,An actress raises her three daughters while juggling the pressures of working in Hollywood and being a single parent.
182,"MOI, OLGA","Petr Kazda, Tomas Weinreb ", 2016,Republique Tcheque,https://images.mubicdn.net/images/film/151197/cache-129559-1581451267/image-w1280.jpg?size=400x,"Olga est une jeune femme complexe qui cherche a s'affranchir d'une famille insensible et de conventions sociales trop rigides. Avec ses airs de garcon manque, elle enchaine les petits boulots comme elle enchaine les cigarettes, jusqu'a ce qu'elle trouve sa voie en tant que chauffeuse de camion."
183,PAINT IT BLACK,Amber Tamblyn , 2016,Etats-Unis,https://images.mubicdn.net/images/film/155872/cache-157613-1467592203/image-w1280.jpg?size=400x,"What happens to a dream when the dreamer is gone? PAINT IT BLACK is the story of the aftermath of Michael's death, and Josie's struggle to hold onto the true world he shared with her."
184,MADEMOISELLE,Park Chan-wook , 2016,Coree du Sud,https://images.mubicdn.net/images/film/149904/cache-127001-1612551532/image-w1280.jpg?size=400x,"Dans la Coree des annees 1930, une jeune fille est embauchee comme servante au service d'une heritiere japonaise vivant dans un grand domaine de campagne isole. En realite, elle a ete recrutee par un escroc se faisant passer pour un comte pour l'aider a seduire la Dame et lui voler sa fortune."
185,HEARTLAND,Maura Anderson , 2016,Etats-Unis,https://images.mubicdn.net/images/film/175522/cache-233099-1637203066/image-w1280.jpg?size=400x,"A young Oklahoma artist, struggling with a recent death, finds escape in a reckless affair with her brother's girlfriend."
186,PORTRAIT OF A SERIAL MONOGAMIST,"Christina Zeidler, John Mitchell ", 2015,Canada,https://images.mubicdn.net/images/film/247003/cache-477990-1570852821/image-w1280.jpg?size=400x,"An accomplished breakup artist leaves her long-standing girlfriend to pursue a younger woman, but did she make a mistake?"
187,FIRST GIRL I LOVED,Kerem Sanga , 2016,Etats-Unis,https://images.mubicdn.net/images/film/135581/cache-126134-1487557312/image-w1280.jpg?size=400x,"Anne is a 17-year-old headstrong, cool nerd who lives with her single mom. While covering a softball game for the high school yearbook committee, she becomes infatuated with Sasha, the pretty star of the team..."
188,OUR LOVE STORY,Lee Hyun-ju , 2016,Coree du Sud,https://images.mubicdn.net/images/film/159451/cache-172625-1526951106/image-w1280.jpg?size=400x,"Yoon-ju is a graduate student of fine arts and is working on her graduation exhibition. One day, while she is searching for materials for her project, she runs into Ji-soo. Never having enjoyed dating men, Yoon-ju finds Ji-soo fascinating and falls in love with her."
189,LOVESONG,Kim So Yong , 2016,Etats-Unis,https://images.mubicdn.net/images/film/135588/cache-124903-1622110363/image-w1280.jpg?size=400x,"Sarah, a young mother, raises her daughter while feeling abandoned by her husband. When her old friend Mindy comes to visit, they go on a road trip, and after an alcohol-infused heart-to-heart, a long unspoken intimacy emerges between them. Three years later, they are reunited for Mindy's wedding."
190,ALMOST ADULTS,Sarah Rotella , 2016,Canada,https://images.mubicdn.net/images/film/168206/cache-207563-1489453350/image-w1280.jpg?size=400x,Two best friends' relationship strains when one deals with her newfound sexuality and the other with breaking up with her long term boyfriend.
191,AWOL,Deb Shoval , 2016,Etats-Unis,https://images.mubicdn.net/images/film/153173/cache-133574-1460997289/image-w1280.jpg?size=400x,"A young woman Joey is in search of direction in her small town. A visit to an army recruiting office appears to provide a path, but when she meets and falls in love with Rayna that path diverges in ways that neither woman anticipates."
192,BELOW HER MOUTH,April Mullen , 2016,Canada,https://images.mubicdn.net/images/film/157181/cache-161277-1487132237/image-w1280.jpg?size=400x,The story of an unexpected affair that quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.
193,JE DANSERAI SI JE VEUX,Maysaloun Hamoud , 2016,Israel,https://images.mubicdn.net/images/film/161288/cache-182150-1646649578/image-w1280.jpg?size=400x,"Three strong, independent-minded Palestinian-Israeli women live together in Tel Aviv. Away from the constraints of their families and enforced tradition, they find themselves in between the free and unfettered lives they aspire to lead and the restrictions imposed on them by a blinkered society."
194,A DATE FOR MAD MARY,Darren Thornton , 2016,Irlande,https://images.mubicdn.net/images/film/159962/cache-212101-1542060046/image-w1280.jpg?size=400x,"Mary McArdle returns to Drogheda after a short spell in prison - for something she'd rather forget. Back home, everything and everyone has changed."
195,TAKE ME FOR A RIDE,Micaela Rueda , 2016,Equateur,https://images.mubicdn.net/images/film/169241/cache-212532-1548432854/image-w1280.jpg?size=400x,"Sara is in her last year of high school, doesn't have many friends and is trapped between a dominating mother and an inattentive father. But everything changes when she meets Andrea, her new schoolmate, with whom she will start an intimate relationship in secret."
196,WOMEN WHO KILL,Ingrid Jungermann , 2016,Etats-Unis,https://images.mubicdn.net/images/film/156268/cache-158722-1468516960/image-w1280.jpg?size=400x,"Commitment phobic Morgan and her ex-girlfriend Jean, locally famous true crime podcasters, suspect Morgan's new love interest is a murderer."
197,LIBERTY'S SECRET,Andy Kirshner , 2016,Etats-Unis,https://images.mubicdn.net/images/film/251388/cache-494645-1575775085/image-w1280.jpg?size=400x,"The squeaky-clean daughter of a ""family values"" preacher becomes a national political sensation and falls in love with her spin doctor -- another woman."
198,THE GIRL KING,Mika Kaurismaki , 2015,Finlande,https://images.mubicdn.net/images/film/131105/cache-115456-1505708991/image-w1280.jpg?size=400x,"Paints a portrait of the brilliant, extravagant Kristina of Sweden, queen from age six, who fights the conservative forces that are against her ideas to modernize Sweden and who have no tolerance for her awakening sexuality."
199,CAROL,Todd Haynes , 2015,Etats-Unis,https://images.mubicdn.net/images/film/119702/cache-104824-1608127962/image-w1280.jpg?size=400x,"When Carol walks into a New York department store and meets Therese an unlikely friendship sparks. Carol is a socialite going through a bitter divorce while Therese is just starting out in life. Mesmerized by each other, they face a choice: deny their hearts' desires or defy society's conventions."
200,SUICIDE KALE,Carly Usdin , 2015,Etats-Unis,https://images.mubicdn.net/images/film/156033/cache-158055-1468029969/image-w1280.jpg?size=400x,"A dark comedy that finds Jasmine and Penn, a new couple with an uncertain future, struggling through a lunch party after they stumble upon an anonymous suicide note in the home of the hosts."
201,ALIGARH,Hansal Mehta , 2015,Inde,https://images.mubicdn.net/images/film/150526/cache-127808-1600279213/image-w1280.jpg?size=400x,"Based on the real life incident of Dr. Shrinivas Ramchandra Siras, a university professor at Aligarh Muslim University, who was suspended from his job because of his sexual orientation."
202,FREEHELD,Peter Sollett , 2015,Etats-Unis,https://images.mubicdn.net/images/film/127268/cache-111333-1445963554/image-w1280.jpg?size=400x,New Jersey police lieutenant Laurel Hester and her registered domestic partner Stacie Andree both battle to secure Hester's pension benefits after she was diagnosed with terminal cancer.
203,BESSIE,Dee Rees , 2015,Etats-Unis,https://images.mubicdn.net/images/film/126850/cache-110776-1445962985/image-w1280.jpg?size=400x,"The story of legendary blues performer, Bessie Smith, who rose to fame during the 1920s and '30s."
204,WHILE YOU WEREN'T LOOKING,Catherine Stewart , 2015,Afrique du Sud,https://images.mubicdn.net/images/film/161140/cache-181285-1478521678/image-w1280.jpg?size=400x,The story outlines the lives of the gay and lesbian experience and relationships in a contemporary South Africa.
205,GIRL GETS GIRL,Sonia Sebastian , 2015,Espagne,https://images.mubicdn.net/images/film/204656/cache-333787-1524819948/image-w1280.jpg?size=400x,"Ines has lived the American dream in Miami for 10 years. When she's caught cheating on her girlfriend, her world tumbles down. For the first time in years Ines asks herself what she wants in life: It's time to get back to Spain."
206,LES DOLLARS DES SABLES,"Israel Cardenas, Laura Amelia Guzman ", 2014,Republique Dominicaine,https://images.mubicdn.net/images/film/116378/cache-95783-1445951213/image-w1280.jpg?size=400x,"In an idyllic seaside city in the Dominican Republic, the long-time relationship between a beautiful and impoverished young local girl and her wealthy European lover is put to the test as issues of class, inequality and exploitation rise to the surface."
207,GRANDMA,Paul Weitz , 2015,Etats-Unis,https://images.mubicdn.net/images/film/118978/cache-103733-1445956663/image-w1280.jpg?size=400x,"Self-described misanthrope Elle Reid has her protective bubble burst when her 18-year-old granddaughter, Sage, shows up needing help. The two of them go on a day-long journey that causes Elle to come to terms with her past and Sage to confront her future."
208,LA BELLE SAISON,Catherine Corsini , 2015,France,https://images.mubicdn.net/images/film/130424/cache-114603-1565769625/image-w1280.jpg?size=400x,No synopsis available
209,DOPE,Rick Famuyiwa , 2015,Etats-Unis,https://images.mubicdn.net/images/film/118859/cache-103503-1449705915/image-w1280.jpg?size=400x,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure."
210,JENNY'S WEDDING,Mary Agnes Donoghue , 2015,Etats-Unis,https://images.mubicdn.net/images/film/131083/cache-115392-1445967579/image-w1280.jpg?size=400x,"Jenny Farrell has led an openly gay life - except with her conventional family. When she finally decides to start a family and marry the woman they thought was just her roommate, the small, safe world the Farrells inhabited changes forever."
211,SUMMER,Alante Kavaite , 2015,Lituanie,https://images.mubicdn.net/images/film/118802/cache-103382-1537268537/image-w1280.jpg?size=400x,"Sangaile, 17 ans, est fascinee par les avions cascadeurs mais a peur du vide. Lorsqu'elle rencontre Auste, une fille de son age courageuse et creative, lors d'un salon aeronautique, elles tombent amoureuses l'une de l'autre. Sangaile devoile sa plus grande peur a Auste et trouve le courage de voler."
212,DON'T LOOK AT ME THAT WAY,Uisenma Borchu , 2015,Allemagne,https://images.mubicdn.net/images/film/155780/cache-157435-1606420876/image-w1280.jpg?size=400x,"Hedi est la nouvelle voisine d'Iva, qui eleve sa fille toute seule. Les deux femmes entament une relation et Iva est profondement amoureuse. Soudain, le pere de cette derniere fait son apparition et Hedi s'eprend de lui. Il semblerait qu'un seul monde existe aux yeux de Hedi : le sien..."
213,THAT'S NOT US,William Sullivan , 2015,Etats-Unis,https://images.mubicdn.net/images/film/151352/cache-130173-1456252036/image-w1280.jpg?size=400x,An intimate portrait of three twenty-something couples as they travel to a beach house to enjoy the last days of summer. But what should be a fun and carefree weekend becomes an exploration of what it takes to sustain a healthy relationship.
214,"MARGARITA, WITH A STRAW",Shonali Bose , 2014,Inde,https://images.mubicdn.net/images/film/116369/cache-95773-1471220507/image-w1280.jpg?size=400x,"In this inspirational love story, a Delhi university student and aspiring writer afflicted with cerebral palsy (Kalki Koechlin, Dev.D, That Girl in Yellow Boots) leaves India for New York University, where she falls for a fiery young activist."
215,JE SUIS ANNEMARIE SCHWARZENBACH,Veronique Aubouy , 2015,France,https://images.mubicdn.net/images/film/119962/cache-105148-1562857459/image-w1280.jpg?size=400x,No synopsis available
216,"A TROIS, ON Y VA",Jerome Bonnell , 2015,France,https://images.mubicdn.net/images/film/125936/cache-109117-1445961432/image-w1280.jpg?size=400x,"Charlotte et Micha sont jeunes et amoureux. Ils viennent de s'acheter une maison pres de Lille pour y filer le parfait amour. Mais depuis quelques mois, Charlotte trompe Micha avec Melodie... Sans rien soupconner, se sentanttoutefois un peu delaisse, Micha trompe Charlotte a son tour... mais avec Melodi"
217,ADDICTED TO FRESNO,Jamie Babbit , 2015,Etats-Unis,https://images.mubicdn.net/images/film/120690/cache-111003-1445963234/image-w1280.jpg?size=400x,A comedy that follows the lives two co-dependent sisters who work as hotel maids in Fresno.
218,REGARDING SUSAN SONTAG,Nancy D. Kates , 2014,Etats-Unis,https://images.mubicdn.net/images/film/126071/cache-109440-1445961711/image-w1280.jpg?size=400x,"An intimate investigation into the life of one of the most influential and provocative thinkers of the 20th century. The documentary explores Sontag's life through archival materials, accounts from friends, family, colleagues, and lovers, as well as her own words, as read by Patricia Clarkson."
219,TRANSPARENT,Joey Soloway & 13 de plus, 2014,Etats-Unis,https://images.mubicdn.net/images/film/185931/cache-275227-1528432099/image-w1280.jpg?size=400x,An L.A. family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.
220,THE DUKE OF BURGUNDY,Peter Strickland , 2014,Royaume-Uni,https://images.mubicdn.net/images/film/116390/cache-95794-1572076830/image-w1280.jpg?size=400x,"Nuit et jour, Cynthia et Evelyn, deux amantes, s'adonnent a un fantasme sadomasochiste elabore en tant que maitresse et domestique. Alors que le rituel de domination/soumission perd de son attrait, Cynthia veut quelque chose de plus conventionnel alors qu'Evelyn tente d'aller encore plus loin."
221,ALL ABOUT E,Louise Wadley , 2015,Australie,https://images.mubicdn.net/images/film/236750/cache-439338-1559016176/image-w1280.jpg?size=400x,"A beautiful sexy DJ is forced to run when she stumbles on a stash of cash. Can she keep the money, conquer her demons, AND get the girl?"
222,INSIDE THE CHINESE CLOSET,Sophia Luvara , 2015,Pays-Bas,https://images.mubicdn.net/images/film/151199/cache-129560-1585099287/image-w1280.jpg?size=400x,"Follows Andy and Cherry in their search. Along the way, they clash with their parents' hopes, their love partners and the partners of convenience. It is through these encounters that the film lays bare the challenges that confront gay people in China today."
223,APPROPRIATE BEHAVIOR,Desiree Akhavan , 2014,Etats-Unis,https://images.mubicdn.net/images/film/112882/cache-849410-1674236209/image-w1280.jpg?size=400x,"For Shirin, acceptance eludes her from all sides. Her family doesn't know she's bisexual, and her ex, Maxine, can't understand why she doesn't tell them. Following a family announcement of her brother's betrothal to a parentally approved Iranian prize catch, Shirin embarks on a private rebellion."
224,SHE'S BEAUTIFUL WHEN SHE'S ANGRY,Mary Dore , 2014,Etats-Unis,https://images.mubicdn.net/images/film/130670/cache-114909-1595618864/image-w1280.jpg?size=400x,"Le recit provocateur, exaltant et souvent drole de la naissance du mouvement de liberation de la femme a la fin des annees 1960 par celles qui l'ont vecue."
225,LYLE,Stewart Thorndike , 2014,Etats-Unis,https://images.mubicdn.net/images/film/116328/cache-95667-1604649642/image-w1280.jpg?size=400x,A mother's grief over the death of her toddler leads to horror.
